Date,Review
25 de julho de 2023,"Bom restaurante, ambiente com decoração e canções típicas, e bom atendimento. Preço justo e tudo a la carte. A rua onde fica é quase impossível achar vaga para estacionar."
22 de julho de 2023,"Muito incrível o restaurante. Comida maravilhosa e bebida impecável. Atendimento muito bom, os músicos talentosos e ambiento lindo."
19 de julho de 2023,"Muito divertido para celebrar aniversário em família. Ambiente descontraido, bem decorado e animado. Adoramos"
18 de julho de 2023,"Ótimo lugar, atendimento excelente
Os garçons João e Sérgio foram excepcionais.
Recomendo demais a comida."
18 de julho de 2023,Este local é demasiado animado para curtir a noite em família nessa cidade maravilhosa que é o Rio de Janeiro
18 de julho de 2023,"otimo para quem gosta de comida picante, tudo muito organizado. unico problema que dentro do restaurante tem muito barulho, tirando isso otimo lugar para jantar com amigos e familia"
18 de julho de 2023,"Ótimo ambiente, agradável para ir com família ou amigos. Super limpo, garçons atenciosos e apresentação maravilhosa."
18 de julho de 2023,"Acolhedor, comida gostosa e boa apresentação.
A luz é agradável, o banheiro limpo e sempre limpam as mesas."
16 de julho de 2023,"Um ótimo local, com um ambiente incrível, músicos bem divertidos e comida excepcional. Vale muito a pena"
16 de julho de 2023,"O restaurante é maravilhoso , adoro a vibe... O rodízio é muito bom, sempre vamos com nossa família"
16 de julho de 2023,"Bom lugar, com ótimo serviço! 
Comemos tacos, burrito e quesadilla e os três estavam muito boms e bem temperados; os drinks também foram ótimos. 
O serviço foi eficiente e a comida veio rápido.
Peca apenas pela pouca variedade de comidas vegetarianas, e pela dificuldade para...Mais"
15 de julho de 2023,"Ótimo ambiente para curtir com a família, comida gostosa, bom atendimento, uma opção diferente para sair da rotina!"
14 de julho de 2023,Lugar Maravilhoso. Comida muito gostosa. Super rápido. Ótima música. Ambiente mto legal. Muito bem montado.
10 de julho de 2023,"Lugar agradável, comida boa e atendimento excelente. Gerência muito competente, rodízio com excelente opções"
7 de julho de 2023,"Comida ótima! E lugar com uma vibe sensacional! Muito animado, garçons e garçonetes caracterizados com personagens, músicas legais e ótima energia!"
6 de julho de 2023,"Costelinha suína muito saborosa, guacamole top - fazendo jus ao nome do restaurante - e sour cream espetacular! Alem da qualidade, serve bem na quantidade de comida, com preço compatível! Ambiente animado! Atendente simpática, bem educada! Recomendo!"
3 de julho de 2023,"Ótimo atendimento.
Ambiente lindo e aconchegante.
As músicas são muito boas.
A comida é muito saborosa."
1 de julho de 2023,"Ambiente super legal, temático sem ser o over, atendentes maravilhosos, comida excelente, pedidos chegam super rápido na mesa, enfim foi uma experiência muito positiva!"
1 de julho de 2023,O ambiente é muito bom e o rodizio é farto. As comidas tem otimo sabor mas a carne ao pastor deseja e nao lembra os sabores mexicanos.
1 de julho de 2023,"Melhor ambiente que já vi, ideia maravilhosa, comida formidável e música agradável. Meu primeiro dia no Rio de Janeiro e já sei que virei aqui em todas as minhas visitas, obrigada!"
