Topics,Representation,Neutral,Positive,Negative,Highest Score,Topic Sentiment,Token Predictions Corrected,Count
-1,"['garcons', 'casa', 'comida', 'familia', 'burrito', 'atendimento', 'comemoracao', 'ambiente', 'lugar', 'amigo']",0.04296809791897734,0.849755769526517,0.10727612732530192,0.849755769526517,Positive,"[(('mexicana', 'I-MISC'), 11), (('mexicano', 'I-MISC'), 8), (('Guacamole', 'I-ORG'), 5), (('Rio', 'I-LOC'), 4), (('de', 'I-LOC'), 3)]",135
0,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']",0.04429145684281993,0.8241453625567033,0.13156317930900643,0.8241453625567033,Positive,"[(('mexicana', 'I-MISC'), 20), (('Rio', 'I-LOC'), 12), (('Gabriel', 'I-PER'), 12), (('Mexico', 'I-LOC'), 11), (('mexicano', 'I-MISC'), 10)]",598
1,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']",0.044475626921715396,0.8377455340572417,0.11777883973279206,0.8377455340572417,Positive,"[(('mexicana', 'I-MISC'), 77), (('mexicano', 'I-MISC'), 11), (('Matheus', 'I-PER'), 8), (('Rio', 'I-LOC'), 8), (('Mexico', 'I-LOC'), 7)]",562
2,"['musica', 'comida', 'musico', 'ambiente', 'atendimento', 'lugar', 'mesa', 'cantor', 'decoracao', 'restaurante']",0.041983325550596105,0.8706436916087491,0.08737298036462617,0.8706436916087491,Positive,"[(('mexicana', 'I-MISC'), 87), (('mexicano', 'I-MISC'), 28), (('Mexico', 'I-LOC'), 14), (('Rio', 'I-LOC'), 8), (('Maria', 'I-MISC'), 8)]",502
3,"['restaurante', 'atendimento', 'comida', 'prato', 'decoracao', 'qualidade', 'vez', 'ambiente', 'mesa', 'bar']",0.0564416159135736,0.8051790253960923,0.13837935676007238,0.8051790253960923,Positive,"[(('mexicana', 'I-MISC'), 54), (('mexicano', 'I-MISC'), 42), (('Rio', 'I-LOC'), 26), (('Barra', 'I-LOC'), 14), (('da', 'I-LOC'), 10)]",365
4,"['bebida', 'drink', 'comida', 'cerveja', 'atendimento', 'noite', 'ambiente', 'lugar', 'preco', 'bebido']",0.04254681439402595,0.8521278426393538,0.10532534230450812,0.8521278426393538,Positive,"[(('mexicana', 'I-MISC'), 15), (('mexicano', 'I-MISC'), 7), (('Mexico', 'I-LOC'), 4), (('Rio', 'I-LOC'), 4), (('Eveline', 'I-PER'), 4)]",272
5,"['tequila', 'mexicano', 'tequileiro', 'restaurante', 'mexico', 'mesa', 'comida', 'lugar', 'amigo', 'musica']",0.05904272975923691,0.7903277758972436,0.1506294948016701,0.7903277758972436,Positive,"[(('mexicana', 'I-MISC'), 36), (('mexicano', 'I-MISC'), 22), (('Mexico', 'I-LOC'), 20), (('Rio', 'I-LOC'), 13), (('<s>', 'I-LOC'), 7)]",217
6,"['guacamole', 'restaurante', 'comida', 'vez', 'experiencia', 'mesa', 'atendimento', 'opcao', 'jardim', 'super']",0.06198549311652425,0.7845694094541527,0.15344510082199814,0.7845694094541527,Positive,"[(('Guacamole', 'I-LOC'), 36), (('Guacamole', 'I-ORG'), 33), (('mexicana', 'I-MISC'), 22), (('Guacamole', 'I-MISC'), 14), (('Barra', 'I-LOC'), 12)]",126
7,"['aniversario', 'comida', 'restaurante', 'atendimento', 'decoracao', 'drink', 'ambiente', 'amigo', 'comemoracao', 'local']",0.04415645847881311,0.8197009758337548,0.1361425640527159,0.8197009758337548,Positive,"[(('mexicana', 'I-MISC'), 13), (('Guacamole', 'I-ORG'), 3), (('mexicano', 'I-MISC'), 3), (('Matheus', 'I-PER'), 2), (('da', 'I-ORG'), 2)]",95
